power,time
0,8759.01
1,8759.01
2,8759.01
3,8759.01
4,8759.01
5,8759.01
6,8759.01
7,8759.01
8,8759.01
9,8759.01
10,8759.01
11,8759.01
12,8759.01
13,8759.01
14,8759.01
15,8759.01
16,8759.01
17,8759.01
18,8759.01
19,8759.01
20,8759.01
21,8759.01
22,8759.01
23,8759.01
24,8759.01
25,8759.01
26,8759.01
27,8759.01
28,8759.01
29,8759.01
30,8759.01
31,8759.01
32,8759.01
33,8759.01
34,8759.01
35,8759.01
36,8759.01
37,8759.01
38,8759.01
39,8759.01
40,8759.01
41,8759.01
42,8759.01
43,8759.01
44,8759.01
45,8759.01
46,8759.01
47,8759.01
48,8759.01
49,8759.01
50,8759.01
51,8759.01
52,8759.01
53,8759.01
54,8759.01
55,8759.01
56,8759.01
57,8759.01
58,8759.01
59,8759.01
60,8759.01
61,8759.01
62,8759.01
63,8759.01
64,8759.01
65,8759.01
66,8759.01
67,8759.01
68,8759.01
69,8759.01
70,8759.01
71,8759.01
72,8759.01
73,8759.01
74,8759.01
75,8759.01
76,8759.01
77,8759.01
78,8759.01
79,8759.01
80,8759.01
81,8759.01
82,8759.01
83,8759.01
84,8759.01
85,8759.01
86,8759.01
87,8759.01
88,8759.01
89,8759.01
90,8759.01
91,8759.01
92,8759.01
93,8759.01
94,8759.01
95,8759.01
96,8759.01
97,8759.01
98,8759.01
99,8759.01
100,8759.01
101,8759.01
102,8759.01
103,8759.01
104,8759.01
105,8759.01
106,8759.01
107,8759.01
108,8759.01
109,8759.01
110,8759.01
111,8759.01
112,8759.01
113,8759.01
114,8759.01
115,8759.01
116,8759.01
117,8759.01
118,8759.01
119,8759.01
120,8759.01
121,8759.01
122,8759.01
123,8759.01
124,8759.01
125,8759.01
126,8759.01
127,8759.01
128,8759.01
129,8759.01
130,8759.01
131,8759.01
132,8759.01
133,8759.01
134,8759.01
135,8759.01
136,8759.01
137,8759.01
138,8759.01
139,8759.01
140,8759.01
141,8759.01
142,8759.01
143,8759.01
144,8759.01
145,8759.01
146,8759.01
147,8759.01
148,8759.01
149,8759.01
150,8759.01
151,8759.01
152,8759.01
153,8759.01
154,8759.01
155,8759.01
156,8759.01
157,8759.01
158,8759.01
159,8759.01
160,8759.01
161,8759.01
162,8759.01
163,8759.01
164,8759.01
165,8759.01
166,8759.01
167,8759.01
168,8759.01
169,8759.01
170,8759.01
171,8759.01
172,8759.01
173,8759.01
174,8759.01
175,8759.01
176,8759.01
177,8759.01
178,8759.01
179,8759.01
180,8759.01
181,8759.01
182,8759.01
183,8759.01
184,8759.01
185,8759.01
186,8759.01
187,8759.01
188,8759.01
189,8759.01
190,8759.01
191,8759.01
192,8759.01
193,8759.01
194,8759.01
195,8759.01
196,8759.01
197,8759.01
198,8759.01
199,8759.01
200,8759.01
201,8759.01
202,8759.01
203,8758.02
204,8758.02
205,8758.02
206,8758.02
207,8758.02
208,8758.02
209,8758.02
210,8758.02
211,8758.02
212,8758.02
213,8758.02
214,8758.02
215,8758.02
216,8758.02
217,8758.02
218,8758.02
219,8758.02
220,8758.02
221,8758.02
222,8758.02
223,8758.02
224,8758.02
225,8758.02
226,8758.02
227,8758.02
228,8758.02
229,8758.02
230,8758.02
231,8758.02
232,8758.02
233,8758.02
234,8758.02
235,8758.02
236,8758.02
237,8758.02
238,8758.02
239,8758.02
240,8758.02
241,8758.02
242,8758.02
243,8758.02
244,8758.02
245,8758.02
246,8758.02
247,8758.02
248,8758.02
249,8758.02
250,8758.02
251,8758.02
252,8758.02
253,8758.02
254,8758.02
255,8758.02
256,8758.02
257,8758.02
258,8758.02
259,8758.02
260,8758.02
261,8758.02
262,8758.02
263,8758.02
264,8758.02
265,8758.02
266,8758.02
267,8758.02
268,8758.02
269,8758.02
270,8758.02
271,8758.02
272,8758.02
273,8758.02
274,8758.02
275,8758.02
276,8758.02
277,8758.02
278,8758.02
279,8758.02
280,8758.02
281,8758.02
282,8758.02
283,8758.02
284,8758.02
285,8758.02
286,8758.02
287,8758.02
288,8758.02
289,8758.02
290,8758.02
291,8758.02
292,8758.02
293,8758.02
294,8758.02
295,8758.02
296,8758.02
297,8758.02
298,8758.02
299,8758.02
300,8758.02
301,8758.02
302,8758.02
303,8758.02
304,8758.02
305,8758.02
306,8758.02
307,8758.02
308,8758.02
309,8758.02
310,8758.02
311,8758.02
312,8758.02
313,8758.02
314,8758.02
315,8758.02
316,8758.02
317,8758.02
318,8758.02
319,8758.02
320,8758.02
321,8758.02
322,8758.02
323,8758.02
324,8758.02
325,8758.02
326,8758.02
327,8758.02
328,8758.02
329,8758.02
330,8758.02
331,8758.02
332,8758.02
333,8758.02
334,8758.02
335,8758.02
336,8758.02
337,8758.02
338,8758.02
339,8758.02
340,8758.02
341,8758.02
342,8758.02
343,8758.02
344,8758.02
345,8758.02
346,8758.02
347,8758.02
348,8758.02
349,8758.02
350,8758.02
351,8758.02
352,8758.02
353,8758.02
354,8758.02
355,8758.02
356,8758.02
357,8758.02
358,8758.02
359,8758.02
360,8758.02
361,8758.02
362,8758.02
363,8758.02
364,8758.02
365,8758.02
366,8758.02
367,8758.02
368,8758.02
369,8758.02
370,8758.02
371,8758.02
372,8758.02
373,8758.02
374,8758.02
375,8758.02
376,8758.02
377,8758.02
378,8758.02
379,8758.02
380,8758.02
381,8758.02
382,8758.02
383,8758.02
384,8758.02
385,8758.02
386,8758.02
387,8758.02
388,8758.02
389,8758.02
390,8758.02
391,8758.02
392,8758.02
393,8758.02
394,8758.02
395,8758.02
396,8758.02
397,8758.02
398,8758.02
399,8758.02
400,8758.02
401,8758.02
402,8758.02
403,8758.02
404,8758.02
405,8758.02
406,8758.02
407,8758.02
408,8758.02
409,8757.03
410,8757.03
411,8757.03
412,8757.03
413,8757.03
414,8757.03
415,8756.04
416,8756.04
417,8756.04
418,8756.04
419,8755.050000000001
420,8755.050000000001
421,8755.050000000001
422,8755.050000000001
423,8755.050000000001
424,8755.050000000001
425,8755.050000000001
426,8754.06
427,8754.06
428,8754.06
429,8754.06
430,8754.06
431,8754.06
432,8754.06
433,8754.06
434,8754.06
435,8753.07
436,8753.07
437,8753.07
438,8753.07
439,8752.08
440,8752.08
441,8752.08
442,8751.09
443,8751.09
444,8751.09
445,8751.09
446,8751.09
447,8750.1
448,8750.1
449,8750.1
450,8750.1
451,8748.12
452,8748.12
453,8747.130000000001
454,8747.130000000001
455,8746.14
456,8745.15
457,8745.15
458,8745.15
459,8744.16
460,8744.16
461,8744.16
462,8743.17
463,8743.17
464,8742.18
465,8742.18
466,8741.19
467,8740.2
468,8739.210000000001
469,8739.210000000001
470,8738.220000000001
471,8738.220000000001
472,8738.220000000001
473,8737.23
474,8736.24
475,8735.25
476,8735.25
477,8734.26
478,8734.26
479,8734.26
480,8734.26
481,8734.26
482,8733.27
483,8733.27
484,8733.27
485,8733.27
486,8732.28
487,8732.28
488,8731.29
489,8729.31
490,8727.33
491,8725.35
492,8724.36
493,8722.380000000001
494,8720.4
495,8719.41
496,8719.41
497,8718.42
498,8717.43
499,8717.43
500,8716.44
501,8715.45
502,8714.460000000001
503,8712.48
504,8711.49
505,8710.5
506,8709.51
507,8708.52
508,8706.54
509,8705.550000000001
510,8704.56
511,8701.59
512,8698.62
513,8695.65
