power,time
0,8759.0298
1,8759.0298
2,8759.0298
3,8759.0298
4,8759.0298
5,8759.0298
6,8759.0298
7,8759.0298
8,8759.0298
9,8759.0298
10,8759.0298
11,8759.0298
12,8759.0298
13,8759.0298
14,8759.0298
15,8759.0298
16,8759.0298
17,8759.0298
18,8759.0298
19,8759.0298
20,8759.0298
21,8759.0298
22,8759.0298
23,8759.0298
24,8759.0298
25,8759.0298
26,8759.0298
27,8759.0298
28,8759.0298
29,8759.0298
30,8759.0298
31,8759.0298
32,8759.0298
33,8759.0298
34,8759.0298
35,8759.0298
36,8759.0298
37,8759.0298
38,8759.0298
39,8759.0298
40,8759.0298
41,8759.0298
42,8759.0298
43,8759.0298
44,8759.0298
45,8759.0298
46,8759.0298
47,8759.0298
48,8759.0298
49,8759.0298
50,8759.0298
51,8759.0298
52,8759.0298
53,8759.0298
54,8759.0298
55,8759.0298
56,8759.0298
57,8759.0298
58,8759.0298
59,8759.0298
60,8759.0298
61,8759.0298
62,8759.0298
63,8759.0298
64,8759.0298
65,8759.0298
66,8759.0298
67,8759.0298
68,8759.0298
69,8759.0298
70,8759.0298
71,8759.0298
72,8759.0298
73,8759.0298
74,8759.0298
75,8759.0298
76,8759.0298
77,8759.0298
78,8759.0298
79,8759.0298
80,8759.0298
81,8759.0298
82,8759.0298
83,8759.0298
84,8759.0298
85,8759.0298
86,8759.0298
87,8759.0298
88,8759.0298
89,8759.0298
90,8759.0298
91,8759.0298
92,8759.0298
93,8759.0298
94,8759.0298
95,8759.0298
96,8759.0298
97,8759.0298
98,8759.0298
99,8759.0298
100,8759.0298
101,8759.0298
102,8759.0298
103,8759.0298
104,8759.0298
105,8759.0298
106,8759.0298
107,8759.0298
108,8759.0298
109,8759.0298
110,8759.0298
111,8759.0298
112,8759.0298
113,8759.0298
114,8759.0298
115,8759.0298
116,8759.0298
117,8759.0298
118,8759.0298
119,8759.0298
120,8759.0298
121,8759.0298
122,8759.0298
123,8759.0298
124,8759.0298
125,8759.0298
126,8759.0298
127,8759.0298
128,8759.0298
129,8759.0298
130,8759.0298
131,8759.0298
132,8759.0298
133,8759.0298
134,8759.0298
135,8759.0298
136,8759.0298
137,8759.0298
138,8759.0298
139,8759.0298
140,8759.0298
141,8759.0298
142,8759.0298
143,8759.0298
144,8759.0298
145,8759.0298
146,8759.0298
147,8759.0298
148,8759.0298
149,8759.0298
150,8759.0298
151,8759.0298
152,8759.0298
153,8759.0298
154,8759.0298
155,8759.0298
156,8759.0298
157,8759.0298
158,8759.0298
159,8759.0298
160,8759.0298
161,8759.0298
162,8759.0298
163,8759.0298
164,8759.0298
165,8759.0298
166,8759.0298
167,8759.0298
168,8759.0298
169,8759.0298
170,8759.0298
171,8759.0298
172,8759.0298
173,8759.0298
174,8759.0298
175,8759.0298
176,8759.0298
177,8759.0298
178,8759.0298
179,8759.0298
180,8759.0298
181,8759.0298
182,8759.0298
183,8759.0298
184,8759.0298
185,8759.0298
186,8759.0298
187,8759.0298
188,8759.0298
189,8759.0298
190,8759.0298
191,8759.0298
192,8759.0298
193,8759.0298
194,8759.0298
195,8759.0298
196,8759.0298
197,8759.0298
198,8759.0298
199,8759.0298
200,8759.0298
201,8759.0298
202,8759.0298
203,8758.0596
204,8758.0596
205,8758.0596
206,8758.0596
207,8758.0596
208,8758.0596
209,8758.0596
210,8758.0596
211,8758.0596
212,8758.0596
213,8758.0596
214,8758.0596
215,8758.0596
216,8758.0596
217,8758.0596
218,8758.0596
219,8758.0596
220,8758.0596
221,8758.0596
222,8758.0596
223,8758.0596
224,8758.0596
225,8758.0596
226,8758.0596
227,8758.0596
228,8758.0596
229,8758.0596
230,8758.0596
231,8758.0596
232,8758.0596
233,8758.0596
234,8758.0596
235,8758.0596
236,8758.0596
237,8758.0596
238,8758.0596
239,8758.0596
240,8758.0596
241,8758.0596
242,8758.0596
243,8758.0596
244,8758.0596
245,8758.0596
246,8758.0596
